country,"Cause of death, by injury (% of total)",name
Israel,4.23548509030735,Israel
Italy,3.85670624309975,Italy
Jamaica,11.729280289459,Jamaica
Japan,4.91285957647839,Japan
Jordan,10.3837060486942,Jordan
Kazakhstan,8.19985364765381,Kazakhstan
Kenya,10.8536088765901,Kenya
Kiribati,5.56978611559355,Kiribati
"Korea, Dem. People’s Rep.",6.80565384652683,"Korea, Dem. People’s Rep."
"Korea, Rep.",9.26079720632437,"Korea, Rep."
Kosovo,,Kosovo
Kuwait,13.5451957149019,Kuwait
Kyrgyz Republic,7.97238903608636,Kyrgyz Republic
Lao PDR,9.01654868295383,Lao PDR
Latvia,4.9656268353408,Latvia
Lebanon,5.89549332195732,Lebanon
Lesotho,12.7314607776223,Lesotho
Liberia,9.91344023749502,Liberia
Libya,14.556827487362,Libya
Liechtenstein,,Liechtenstein
Lithuania,5.43139588283383,Lithuania
Luxembourg,6.04676085887135,Luxembourg
"Macao SAR, China",,"Macao SAR, China"
Madagascar,9.51518973411725,Madagascar
Malawi,10.1643789420465,Malawi
Malaysia,8.41842161031946,Malaysia
Maldives,6.66248674447325,Maldives
Mali,9.42341482317176,Mali
Malta,3.25265750939782,Malta
Marshall Islands,,Marshall Islands
Mauritania,10.2224410871213,Mauritania
Mauritius,4.35411519799515,Mauritius
Mexico,10.4962551679616,Mexico
"Micronesia, Fed. Sts.",7.80877881508904,"Micronesia, Fed. Sts."
Moldova,6.04526188221804,Moldova
Monaco,,Monaco
Mongolia,10.9744404544239,Mongolia
Montenegro,4.48017883696707,Montenegro
Morocco,6.9035818970584,Morocco
Mozambique,9.39619580490294,Mozambique
Myanmar,7.25817448066616,Myanmar
Namibia,11.8124947057211,Namibia
Nauru,,Nauru
Nepal,8.72184539648093,Nepal
Netherlands,5.76499055099377,Netherlands
New Caledonia,,New Caledonia
New Zealand,6.04337155251318,New Zealand
Nicaragua,8.90956217157595,Nicaragua
Niger,10.4722428619647,Niger
Nigeria,7.66039943199942,Nigeria
North Macedonia,2.58451833357533,North Macedonia
Northern Mariana Islands,,Northern Mariana Islands
Norway,5.59829045075369,Norway
Oman,10.4455851006983,Oman
Pakistan,6.99617358473283,Pakistan
Palau,,Palau
Panama,8.77274038420363,Panama
Papua New Guinea,7.3734407132877,Papua New Guinea
Paraguay,11.1075949803312,Paraguay
Peru,9.87633625552741,Peru
Philippines,5.96919013955976,Philippines
Poland,4.24088228218582,Poland
Portugal,4.79371579293751,Portugal
Puerto Rico,,Puerto Rico
Qatar,18.1595052295684,Qatar
Romania,3.63515880942512,Romania
Russian Federation,6.79121723457985,Russian Federation
Rwanda,11.4263943162598,Rwanda
Samoa,7.88275737702493,Samoa
San Marino,,San Marino
Sao Tome and Principe,11.4148873749694,Sao Tome and Principe
Saudi Arabia,19.4592222972666,Saudi Arabia
Senegal,11.335051948198,Senegal
Serbia,2.37438662942997,Serbia
Seychelles,7.53426106067687,Seychelles
Sierra Leone,9.24984218649174,Sierra Leone
Singapore,4.27353050170409,Singapore
Sint Maarten (Dutch part),,Sint Maarten (Dutch part)
Slovak Republic,6.28671780232579,Slovak Republic
Slovenia,7.35694422198643,Slovenia
Solomon Islands,9.76886012120253,Solomon Islands
Somalia,9.10451274150765,Somalia
South Africa,12.9895858197131,South Africa
South Sudan,10.7549011322041,South Sudan
Spain,3.62210162451938,Spain
Sri Lanka,8.0110528250866,Sri Lanka
St. Kitts and Nevis,,St. Kitts and Nevis
St. Lucia,9.96256171925254,St. Lucia
St. Martin (French part),,St. Martin (French part)
St. Vincent and the Grenadines,7.79248031433544,St. Vincent and the Grenadines
Sudan,10.5091032751335,Sudan
Suriname,9.57560006869921,Suriname
Sweden,5.03745873904773,Sweden
Switzerland,5.69826863764251,Switzerland
Syrian Arab Republic,14.1307249248781,Syrian Arab Republic
Tajikistan,7.31925734409598,Tajikistan
Tanzania,11.2818740241766,Tanzania
Thailand,9.51406469826445,Thailand
Timor-Leste,6.86081927085795,Timor-Leste
Togo,10.3170844572584,Togo
Tonga,9.51607637745389,Tonga
Trinidad and Tobago,10.3633819137224,Trinidad and Tobago
Tunisia,6.91074046240076,Tunisia
Turkey,4.66807225367062,Turkey
Turkmenistan,5.74255152847739,Turkmenistan
Turks and Caicos Islands,,Turks and Caicos Islands
Tuvalu,,Tuvalu
Uganda,12.7585185774618,Uganda
Ukraine,5.01101815960154,Ukraine
United Arab Emirates,15.8086878707137,United Arab Emirates
United Kingdom,3.68614740758269,United Kingdom
United States,6.55296093578568,United States
Uruguay,7.33568967755435,Uruguay
Uzbekistan,6.6096658662414,Uzbekistan
Vanuatu,9.21739293373837,Vanuatu
"Venezuela, RB",19.3805487695367,"Venezuela, RB"
Vietnam,9.32848946693106,Vietnam
Virgin Islands (U.S.),,Virgin Islands (U.S.)
West Bank and Gaza,,West Bank and Gaza
"Yemen, Rep.",19.4927104394208,"Yemen, Rep."
Zambia,8.68976437239104,Zambia
Zimbabwe,13.0944706390617,Zimbabwe
